$OR;D2
* From-Time  To-Time
8.0 9.0
* Factor
1.0
4_7 16_10 1
4_7 16_11 0
4_7 17_12 0
4_7 17_6 2
4_7 20_10 0
4_7 21_10 2
4_7 22_11 1
4_7 3_12 3
4_7 4_3 2
4_7 4_7 0
4_7 5_11 0
4_7 5_3 4
4_7 6_0 0
4_7 6_14 1
4_7 6_5 2
4_7 7_2 0
4_7 8_4 1
4_7 8_9 18
4_7 9_11 4
4_7 9_7 0
5_11 12_5 3
5_11 13_16 2
5_11 14_7 1
5_11 15_14 1
5_11 16_10 0
5_11 16_11 0
5_11 17_12 11
5_11 17_6 0
5_11 20_10 1
5_11 21_10 8
5_11 22_11 1
5_11 3_12 0
5_11 4_3 1
5_11 4_7 0
5_11 5_11 0
5_11 5_3 3
5_11 6_0 8
5_11 6_14 0
5_11 6_5 1
5_11 7_2 0
5_11 8_4 2
5_11 8_9 3
5_11 9_11 0
5_11 9_7 6
5_3 12_5 0
5_3 13_16 0
5_3 14_7 3
5_3 15_14 1
5_3 16_10 1
5_3 16_11 0
5_3 17_12 0
5_3 17_6 0
5_3 20_10 0
5_3 21_10 0
5_3 22_11 1
5_3 3_12 0
5_3 4_3 1
5_3 4_7 0
5_3 5_11 0
5_3 5_3 0
5_3 6_0 0
5_3 6_14 10
5_3 6_5 0
5_3 7_2 2
5_3 8_4 0
5_3 8_9 2
5_3 9_11 1
5_3 9_7 0
6_0 12_5 0
6_0 13_16 0
6_0 14_7 0
6_0 15_14 2
6_0 16_10 0
6_0 16_11 0
6_0 17_12 1
6_0 17_6 0
6_0 20_10 1
6_0 21_10 17
6_0 22_11 0
6_0 3_12 0
6_0 4_3 0
6_0 4_7 0
6_0 5_11 0
6_0 5_3 2
6_0 6_0 0
6_0 6_14 0
6_0 6_5 2
6_0 7_2 1
6_0 8_4 1
6_0 8_9 0
6_0 9_11 1
6_0 9_7 0
6_14 12_5 2
6_14 13_16 0
6_14 14_7 1
6_14 15_14 0
6_14 16_10 1
6_14 16_11 4
6_14 17_12 1
6_14 17_6 0
6_14 20_10 0
6_14 21_10 0
6_14 22_11 1
6_14 3_12 1
6_14 4_3 1
6_14 4_7 5
6_14 5_11 3
6_14 5_3 8
6_14 6_0 2
6_14 6_14 0
6_14 6_5 0
6_14 7_2 15
6_14 8_4 1
6_14 8_9 0
6_14 9_11 0
6_14 9_7 0
6_5 12_5 3
6_5 13_16 2
6_5 14_7 0
6_5 15_14 0
6_5 16_10 3
6_5 16_11 0
6_5 17_12 0
6_5 17_6 0
6_5 20_10 6
6_5 21_10 0
6_5 22_11 2
6_5 3_12 1
6_5 4_3 0
6_5 4_7 1
6_5 5_11 0
6_5 5_3 1
6_5 6_0 0
6_5 6_14 1
6_5 6_5 0
6_5 7_2 2
6_5 8_4 0
6_5 8_9 3
6_5 9_11 1
6_5 9_7 3
7_2 12_5 0
7_2 13_16 0
7_2 14_7 0
7_2 15_14 0
7_2 16_10 0
7_2 16_11 0
7_2 17_12 0
7_2 17_6 0
7_2 20_10 0
7_2 21_10 0
7_2 22_11 25
7_2 3_12 3
7_2 4_3 7
7_2 4_7 1
7_2 5_11 1
7_2 5_3 1
7_2 6_0 13
7_2 6_14 0
7_2 6_5 0
7_2 7_2 0
7_2 8_4 0
7_2 8_9 9
7_2 9_11 0
7_2 9_7 0
8_4 12_5 0
8_4 13_16 4
8_4 14_7 1
8_4 15_14 1
8_4 16_10 0
8_4 16_11 2
8_4 17_12 5
8_4 17_6 0
8_4 20_10 4
8_4 21_10 0
8_4 22_11 0
8_4 3_12 0
8_4 4_3 0
8_4 4_7 4
8_4 5_11 1
8_4 5_3 2
8_4 6_0 0
8_4 6_14 0
8_4 6_5 1
8_4 7_2 0
8_4 8_4 0
8_4 8_9 0
8_4 9_11 0
8_4 9_7 3
8_9 12_5 0
8_9 13_16 0
8_9 14_7 0
8_9 15_14 0
8_9 16_10 20
8_9 16_11 0
8_9 17_12 0
8_9 17_6 2
8_9 20_10 3
8_9 21_10 0
8_9 22_11 2
8_9 3_12 1
8_9 4_3 1
8_9 4_7 0
8_9 5_11 1
8_9 5_3 0
8_9 6_0 0
8_9 6_14 3
8_9 6_5 0
8_9 7_2 1
8_9 8_4 0
8_9 8_9 0
8_9 9_11 2
8_9 9_7 0
9_11 12_5 5
9_11 13_16 0
9_11 14_7 0
9_11 15_14 2
9_11 16_10 0
9_11 16_11 2
9_11 17_12 2
9_11 17_6 0
9_11 20_10 0
9_11 21_10 2
9_11 22_11 8
9_11 3_12 0
9_11 4_3 0
9_11 4_7 3
9_11 5_11 1
9_11 5_3 1
9_11 6_0 0
9_11 6_14 8
9_11 6_5 3
9_11 7_2 1
9_11 8_4 0
9_11 8_9 0
9_11 9_11 0
9_11 9_7 0
9_7 12_5 6
9_7 13_16 0
9_7 14_7 0
9_7 15_14 8
9_7 16_10 0
9_7 16_11 0
9_7 17_12 5
9_7 17_6 0
9_7 20_10 4
9_7 21_10 2
9_7 22_11 0
9_7 3_12 0
9_7 4_3 0
9_7 4_7 0
9_7 5_11 0
9_7 5_3 0
9_7 6_0 0
9_7 6_14 2
9_7 6_5 0
9_7 7_2 0
9_7 8_4 1
9_7 8_9 0
9_7 9_11 0
9_7 9_7 0
